"disease" "fee" "group" "count" "avg"
"972" "冠心病心律失常型" 81999744.85 59953723.16 9943 8246.98228401891
"7429" "脑梗死" 69601374.47 50824745.11 5525 12597.533840724
"9836" "高血压病" 68438179.66 48909666.99 7669 8924.003085148
"5666" "糖尿病" 66793027.79 47608715.47 6088 10971.2594924442
"971" "冠心病" 58571019.83 42604187.74 6380 9180.41063166144
"6744" "肺部感染" 56924646.12 40728677.16 7620 7470.426
"5639" "精神分裂症" 51553740.55 37805095.59 3734 13806.5721880021
"7768" "腹痛" 48186347.26 32754194.54 6009 8019.02933266766
"7685" "腰椎间盘突出" 46994195.74 31789724.41 6104 7698.91804390564
"9802" "高血压" 46798495.5 34056878.23 8065 5802.66528208307
"6883" "肿瘤" 46120340.45 29323162.31 2546 18114.8234289081
"3345" "恶性肿瘤放（化）治疗" 42833327.87 28631803.41 2872 14914.1113753482
"7427" "脑梗塞" 39723728.38 29730288.79 4767 8333.06657856094
"3155" "急性支气管炎" 32544819.47 23218458.13 11207 2903.97246988489
"6647" "肺恶性肿瘤" 31400163.54 22179788.46 1587 19785.8623440454
"6671" "肺炎" 31288489.66 22371846.39 6380 4904.15198432602
"5498" "神经根型颈椎病" 28852655.9 20822287.08 5552 5196.80401657061
"7375" "脑出血" 27439768.88 18440204.2 1123 24434.3445057881
"7689" "腰椎间盘脱出" 27092891.34 19219123.96 5523 4905.46647474199
"5667" "糖尿病 NOS" 25284897.69 18589910.77 3990 6337.06709022556
"3477" "慢性支气管炎" 24779522.91 18648518.69 5793 4277.49402900052
"9618" "骨折" 24353233.04 14961277.93 1377 17685.7175308642
"6657" "肺气肿" 23191278.3 17414788.12 3592 6456.36923719376
"3615" "慢性阻塞性肺病" 23053713.34 16984729.42 1787 12900.7909009513
"7010" "胆囊结石" 22511440.58 14328711.08 2760 8156.31905072464
"989" "冠状动脉粥样硬化性心脏病" 20975229.21 14346942.97 2216 9465.35614169675
"839" "关节炎" 20967507.22 14534708.72 1815 11552.3455757576
"5211" "直肠恶性肿瘤" 19997675.38 13729759.58 1156 17299.0271453287
"2756" "带状疱疹" 19286912.25 13243064.4 3848 5012.19133316008
"6491" "股骨骨折" 18845478.08 11917627.9 806 23381.4864516129
"5023" "白内障" 18819145.68 10186003.57 1995 9433.15572932331
"1102" "前列腺增生" 18516021.76 12549922.38 2189 8458.66686158063
"3008" "心脏病" 18507641.9 12513495.59 896 20655.8503348214
"2653" "尿毒症" 18252313.97 12975832.72 733 24900.8376125512
"2950" "心悸" 17827310.43 12681054.15 2310 7717.4504025974
"3574" "慢性胃炎" 17423601.91 12346194.71 4193 4155.40231576437
"7336" "脊椎病" 17143935.24 11342884.45 2393 7164.20193898872
"6649" "肺恶性肿瘤史" 15947240.69 11549875.41 936 17037.6503098291
"3478" "慢性支气管炎伴肺气肿" 15322468.37 11850109.18 3771 4063.23743569345
"7493" "脑血管意外" 15118804.21 11067163.8 1343 11257.486381236
"4441" "混合痔伴有并发症" 14916317.41 10295569.42 3255 4582.58599385561
"2199" "头晕和眩晕" 14813765.93 10600287.05 2083 7111.74552568411
"6041" "老年性白内障" 14516505.22 8173632.8 2449 5927.52356880359
"6698" "肺癌病" 14335585.21 9216878.31 868 16515.6511635945
"3570" "慢性肾衰竭" 14150240.13 9947655.02 680 20809.1766617647
"4440" "混合痔" 14046364.67 9624420.13 2325 6041.44716989247
"6346" "肝硬化" 13830479.42 9167333.57 898 15401.4247438753
"8697" "输尿管结石" 13717735.85 8417067.92 2752 4984.64238735465
"3389" "感染性发热" 13439658.79 8836528.22 849 15829.9867962309
"9660" "骨质疏松" 13384140.11 9497141.48 1343 9965.85265078183
"5255" "眩晕" 12910722.48 9678064.56 2789 4629.15829329509
"5882" "结肠恶性肿瘤" 12619711.22 8558020.33 745 16939.2096912752
"4346" "消化道出血" 12493441.76 8323487.32 916 13639.128558952
"7017" "胆囊结石伴胆囊炎" 12441695.43 8222588.2 2157 5768.05536856745
"551" "乳腺恶性肿瘤" 12243039.52 8551330.67 882 13880.9971882086
"6864" "肾结石" 11895051.97 7535099.97 2647 4493.78616169248
"1596" "右支气管肺癌" 11193289.34 8090196.23 1219 9182.35384741591
"3617" "慢性阻塞性肺病伴急性加重" 11180080.44 8088396.89 1164 9604.88010309278
"3614" "慢性阻塞性肺疾病" 11091559.5 8148427.29 1295 8564.91081081081
"7693" "腰椎骨折" 10891367.57 7261677.69 840 12965.9137738095
"3247" "急性胰腺炎" 10326459.58 6998622.3 772 13376.2429792746
"4118" "椎动脉型颈椎病" 10307381.85 7509549.23 2070 4979.41152173913
"2200" "头痛" 10260513.08 7167836.29 1282 8003.52034321373
"3041" "急性上呼吸道感染" 9944425.39 6813857.27 2985 3331.46579229481
"5024" "白内障 NOS" 9943791.86 5483211.49 1401 7097.63872947894
"6489" "股骨颈骨折" 9937646.79 6339115.88 436 22792.7678669725
"6670" "肺源性心脏病" 9854364.14 7379599.04 1127 8743.89009760426
"7379" "脑动脉供血不足" 9789311.16 7283804.69 2370 4130.51103797468
"7669" "腰椎椎管狭窄" 9767246.65 6770025.68 521 18747.1144913628
"6998" "胆囊炎" 9610653.9 5954306.76 1369 7020.20007304602
"4964" "痛风性关节炎" 9452764.61 7001985.16 2659 3555.00737495299
"4428" "混合型颈椎病" 9359392.36 6899559.52 1841 5083.86331341662
"6931" "胃炎" 9195661.23 6293317.17 1649 5576.5077198302
"741" "充血性心力衰竭" 9135740.47 6541626.94 552 16550.2544746377
"3271" "急性阑尾炎" 9054312.36 5776273.57 1627 5565.03525507068
"7675" "腰椎病" 8775652.48 6188947.97 1703 5153.05489136817
"106" "上消化道出血" 8698986.57 5839903.52 1169 7441.39142001711
"552" "乳腺恶性肿瘤史" 8607504.09 6047193.67 670 12847.0210298507
"9837" "高血压脑出血" 8459220.55 5167197.18 186 45479.6803763441
"8249" "血管性头痛" 8215228.39 6140633.56 2796 2938.20757868383
"3550" "慢性肾功能不全" 8083791.69 6168917.1 367 22026.6803542234
"5880" "结肠息肉" 8062863.04 5331507.71 942 8559.30259023354
"8980" "阻塞性肺气肿" 8056657.57 5932303.62 667 12078.9468815592
"6344" "肝癌病" 7996050.17 4671514.74 342 23380.2636549708
"6418" "肠梗阻" 7809961.93 5228765.49 596 13103.9629697987
"6322" "肝恶性肿瘤" 7612468.62 5177682.55 396 19223.4056060606
"2505" "宫颈恶性肿瘤" 7581487.44 4907288.22 414 18312.7715942029
"17" "2型糖尿病" 7437822.14 5160439.96 828 8982.87698067633
"9551" "食管恶性肿瘤" 7430054.22 5104330.61 361 20581.8676454294
"6915" "胃恶性肿瘤" 7282551.45 4920109.75 340 21419.2689705882
"7497" "脑血管病" 7262574.43 5162688.34 819 8867.61224664225
"4082" "桡骨骨折" 7158006.28 4907297.78 964 7425.31771784232
"5718" "糜烂性胃炎" 7153075.18 5147020.89 2571 2782.21516141579
"4199" "气管炎伴慢支炎" 7080683.57 5267888.41 1428 4958.4618837535
"1505" "发热" 6927899.64 4779880.2 874 7926.65862700229
"7226" "胸腔积液" 6926640 4921952.45 570 12152
"5256" "眩晕病" 6899000.07 5026601.2 1169 5901.62538066724
"5257" "眩晕综合征" 6890094.17 4992081.35 1578 4366.34611533587
"6236" "肛周脓肿" 6861389.09 4629409.38 1237 5546.79797089733
"2925" "心力衰竭" 6844440.39 4951491.53 363 18855.2076859504
"101" "上呼吸道感染" 6827949.62 4707338.35 2316 2948.16477547496
"3916" "支气管炎" 6732217.13 4835541.45 1433 4697.98822749477
"7958" "膝关节病" 6694738.58 4928811.77 1183 5659.11967878276
"3243" "急性胆囊炎" 6577327.75 4484807.19 1587 4144.50393824827
"6607" "肱骨骨折" 6557199.74 4241532.78 462 14193.073030303
"5044" "白血病" 6470889.03 4009453.61 280 23110.3179642857
"1617" "后循环缺血" 6109755.02 4311992.42 631 9682.65454833597
"2417" "子宫肌瘤" 6080837.17 3681129.16 925 6573.87802162162
"1473" "双侧膝骨性关节炎(病)" 5992440.74 4427757.45 1283 4670.64749805144
"6249" "肛管直肠癌" 5889652.01 4181011.52 595 9898.57480672269
"9923" "鼻咽恶性肿瘤" 5829280.35 3954321.7 346 16847.6310693642
"9659" "骨质增生" 5740584.89 4364882.49 1499 3829.6096664443
"9343" "颈椎间盘突出" 5633702.66 3904561.51 867 6497.92694348328
"7220" "胸痛" 5514273.35 3881986.64 675 8169.29385185185
"1447" "原发性高血压" 5500424.68 4036099.86 1465 3754.55609556314
"3479" "慢性支气管炎急性发作" 5369108.43 4031811.65 1680 3195.897875
"4961" "痛风" 5314586.38 3606811.46 979 5428.58670071502
"1381" "卵巢恶性肿瘤" 5230745.58 3652725.77 336 15567.6951785714
"9661" "骨质疏松 NOS" 5214053.79 3793843.6 662 7876.21418429003
"7782" "腹股沟疝" 5192541.67 3248879.13 629 8255.23317965024
"6964" "胃肠炎" 5160370.72 3474047.82 1339 3853.89896938013
"1673" "咳嗽" 5153654.89 3689674.23 849 6070.26488810365
"7696" "腰痛" 5096974.92 3587552.55 662 7699.35788519637
"1103" "前列腺恶性肿瘤" 5043179.73 3553717.59 327 15422.5679816514
"9127" "静脉曲张" 4959566.04 3225936.68 322 15402.3790062112
"7216" "胸椎骨折" 4936438.1 3328526.33 316 15621.639556962
"2198" "头晕" 4894241.15 3638495.38 948 5162.7016350211
"6778" "肾功能衰竭的透析治疗" 4881536.83 3495446.72 220 22188.8037727273
"9805" "高血压3级" 4845991.26 3508101.54 693 6992.77238095238
"1888" "声带息肉" 4826841.41 3034534.09 586 8236.9307337884
"8410" "贫血" 4826414.73 3188706.24 316 15273.464335443
"3242" "急性胃肠炎" 4797921.07 3165658.79 1984 2418.30699092742
"9509" "风湿性心脏病" 4796734.09 3173375.85 362 13250.6466574586
"6484" "股骨粗隆间骨折" 4741887.86 3175774.94 245 19354.6443265306
"7777" "腹股沟斜疝" 4730317.58 2838636.34 432 10949.809212963
"4450" "湿疹" 4665104.26 3161837.05 861 5418.23955865273
"6323" "肝恶性肿瘤 NOS" 4561994.99 3131995.47 328 13908.5213109756
"3552" "慢性肾功能衰竭" 4550692.44 3338570.32 286 15911.512027972
"4906" "疼痛" 4498854.7 2917397.44 317 14191.9706624606
"5218" "直肠炎" 4373185.65 2927163.6 678 6450.12632743363
"3808" "抗生素类意外中毒 (T36.951)" 4245739.13 2909014.75 669 6346.39630792227
"5497" "神经根型腰椎病" 4235990.27 3255707.4 1023 4140.75295210166
"7694" "腰椎骨质增生(腰椎骨关节炎)" 4228015.39 3156323.74 1122 3768.28466131907
